GC_Run ,Date,ID,Time_mins ,Chamber_Temp_C,Surface_Area_cm2,Height_cm,Volume_L,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
Batch12_2024,27-Jun-24,S-M-W-1,0,32.3,683.4927518,32.475,,59701,12.1092,,,40962,0.27562,,,,,,
Batch12_2024,27-Jun-24,S-M-W-1,21,31.7,683.4927518,32.475,,144169,29.0028,,,40955,0.27555,,,,,,
Batch12_2024,27-Jun-24,S-M-W-1,42,33,683.4927518,32.475,,227122,45.5934,,,40341,0.26941,,,,,,
Batch12_2024,27-Jun-24,S-M-W-1,63,32.5,683.4927518,32.475,,310759,62.3208,,,41718,0.28318,,,,,,
Batch12_2024,27-Jun-24,C-S-1,0,33.7,683.4927518,32.2,,45013,9.1716,,,40518,0.27118,,,,,,
Batch12_2024,27-Jun-24,C-S-1,21,34.7,683.4927518,32.2,,82035,16.576,,,39510,0.2611,,,,,,
Batch12_2024,27-Jun-24,C-S-1,42,34.8,683.4927518,32.2,,114774,23.1238,,,40220,0.2682,,,,,,
Batch12_2024,27-Jun-24,C-S-1,63,34.5,683.4927518,32.2,,144773,29.1236,,,40269,0.26869,,,,,,
Batch12_2024,27-Jun-24,S-M-1,0,33.7,683.4927518,30.6,,51940,10.557,,,41504,0.28104,,,,,,
Batch12_2024,27-Jun-24,S-M-1,21,33.4,683.4927518,30.6,,84241,17.0172,,,40712,0.27312,,,,,,
Batch12_2024,27-Jun-24,S-M-1,42,33.2,683.4927518,30.6,,112839,22.7368,,,42109,0.28709,,,,,,
Batch12_2024,27-Jun-24,S-M-1,63,33,683.4927518,30.6,,137742,27.7174,,,40429,0.27029,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,0,31.6,683.4927518,31.1,,70226,14.2142,,,41026,0.27626,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,21,32.1,683.4927518,31.1,,118334,23.8358,,,40463,0.27063,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,42,31.8,683.4927518,31.1,,159713,32.1116,,,40304,0.26904,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,63,31.6,683.4927518,31.1,,207247,41.6184,,,41072,0.27672,,,,,,
Batch12_2024,27-Jun-24,C-1,0,33,683.4927518,29.6,,259633,52.0956,,,40182,0.26782,,,,,,
Batch12_2024,27-Jun-24,C-1,21,33,683.4927518,29.6,,410334,82.2358,,,41175,0.27775,,,,,,
Batch12_2024,27-Jun-24,C-1,42,33.3,683.4927518,29.6,,573167,114.8024,,,41496,0.28096,,,,,,
Batch12_2024,27-Jun-24,C-1,63,33,683.4927518,29.6,,746536,149.4762,,,41173,0.27773,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,0,30,683.4927518,31,,17655,3.7,,,41527,0.28127,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,21,29.9,683.4927518,31,,50011,10.1712,,,41165,0.27765,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,42,29.7,683.4927518,31,,78440,15.857,,,41749,0.28349,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,63,29.3,683.4927518,31,,106280,21.425,,,41118,0.27718,,,,,,
Batch12_2024,27-Jun-24,C-2,0,32.1,683.4927518,29.8,,16449,3.4588,,,41487,0.28087,,,,,,
Batch12_2024,27-Jun-24,C-2,21,30.9,683.4927518,29.8,,163679,32.9048,,,41687,0.28287,,,,,,
Batch12_2024,27-Jun-24,C-2,42,31.8,683.4927518,29.8,,306079,61.3848,,,40372,0.26972,,,,,,
Batch12_2024,27-Jun-24,C-2,63,31.9,683.4927518,29.8,,442606,88.6902,,,41408,0.28008,,,,,,
Batch12_2024,27-Jun-24,C-S-2,0,32.1,683.4927518,30.5,,14666,3.1022,,,39280,0.2588,,,,,,
Batch12_2024,27-Jun-24,C-S-2,21,30.4,683.4927518,30.5,,37138,7.5966,,,42572,0.29172,,,,,,
