GC_Run ,Date,Plot,Time_mins ,Chamber_Temp_C,Surface_Area_m2,Height_m,Volume_m3,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
,5-Jun-24,12,0,36.6,,,0.112502907,,2.29,,,,0.23,,,,,,
,5-Jun-24,12,21,39.7,,,0.112502907,,2.69,,,,0.25,,,,,,
,5-Jun-24,12,42,42.3,,,0.112502907,,2.98,,,,0.23,,,,,,
,5-Jun-24,12,63,41.6,,,0.112502907,,3.21,,,,0.24,,,,,,
,5-Jun-24,22,0,36.5,,,0.115236878,,2.23,,,,0.25,,,,,,
,5-Jun-24,22,21,37.6,,,0.115236878,,2.7,,,,0.24,,,,,,
,5-Jun-24,22,42,38.6,,,0.115236878,,3.07,,,,0.23,,,,,,
,5-Jun-24,22,63,39,,,0.115236878,,3.53,,,,0.23,,,,,,
,5-Jun-24,32,0,35.1,,,0.120533947,,2.28,,,,0.25,,,,,,
,5-Jun-24,32,21,36.5,,,0.120533947,,2.68,,,,0.24,,,,,,
,5-Jun-24,32,42,37.5,,,0.120533947,,3.21,,,,0.22,,,,,,
,5-Jun-24,32,63,38.3,,,0.120533947,,3.66,,,,0.22,,,,,,
,5-Jun-24,42,0,33.2,,,0.119508708,,2.3,,,,0.24,,,,,,
,5-Jun-24,42,21,37.5,,,0.119508708,,2.85,,,,0.24,,,,,,
,5-Jun-24,42,42,39.8,,,0.119508708,,3.63,,,,0.24,,,,,,
,5-Jun-24,42,63,39.9,,,0.119508708,,4.31,,,,0.24,,,,,,
,5-Jun-24,14,0,37.1,,,0.094732095,,2.71,,,,0.22,,,,,,
,5-Jun-24,14,21,39.4,,,0.094732095,,7.72,,,,0.23,,,,,,
,5-Jun-24,14,42,39.8,,,0.094732095,,13.69,,,,0.23,,,,,,
,5-Jun-24,14,63,39.8,,,0.094732095,,17.67,,,,0.24,,,,,,
,5-Jun-24,24,0,34.4,,,0.098149559,,2.33,,,,0.23,,,,,,
,5-Jun-24,24,21,36,,,0.098149559,,4.01,,,,0.23,,,,,,
,5-Jun-24,24,42,38.3,,,0.098149559,,5.57,,,,0.24,,,,,,
,5-Jun-24,24,63,38.5,,,0.098149559,,7.14,,,,0.24,,,,,,
,5-Jun-24,34,0,32.5,,,0.118825215,,2.39,,,,0.25,,,,,,
,5-Jun-24,34,21,37.8,,,0.118825215,,5.34,,,,0.24,,,,,,
,5-Jun-24,34,42,38.6,,,0.118825215,,7.71,,,,0.24,,,,,,
,5-Jun-24,34,63,38.8,,,0.118825215,,10.25,,,,0.23,,,,,,
,5-Jun-24,44,0,37.5,,,0.125489269,,2.31,,,,0.24,,,,,,
,5-Jun-24,44,21,37.9,,,0.125489269,,5.33,,,,0.24,,,,,,
,5-Jun-24,44,42,38,,,0.125489269,,8.32,,,,0.24,,,,,,
,5-Jun-24,44,63,39,,,0.125489269,,11.36,,,,0.25,,,,,,
,5-Jun-24,11,0,36.6,,,0.125489269,,3.95,,,,0.24,,,,,,
,5-Jun-24,11,21,38.6,,,0.125489269,,17.62,,,,0.23,,,,,,
,5-Jun-24,11,42,39.9,,,0.125489269,,34.21,,,,0.25,,,,,,
,5-Jun-24,11,63,39.6,,,0.125489269,,55.12,,,,0.25,,,,,,
,5-Jun-24,21,0,36.1,,,0.128906733,,2.52,,,,0.23,,,,,,
,5-Jun-24,21,21,38.7,,,0.128906733,,7.22,,,,0.25,,,,,,
,5-Jun-24,21,42,39.2,,,0.128906733,,10.25,,,,0.25,,,,,,
,5-Jun-24,21,63,40.3,,,0.128906733,,16.71,,,,0.24,,,,,,
,5-Jun-24,31,0,36.4,,,0.154195965,,4.88,,,,0.23,,,,,,
,5-Jun-24,31,21,39.1,,,0.154195965,,15.12,,,,0.24,,,,,,
,5-Jun-24,31,42,39.8,,,0.154195965,,26.16,,,,0.23,,,,,,
,5-Jun-24,31,63,39.7,,,0.154195965,,49.04,,,,0.25,,,,,,
,5-Jun-24,41,0,35,,,0.146677545,,2.38,,,,0.24,,,,,,
,5-Jun-24,41,21,38.2,,,0.146677545,,3.09,,,,0.24,,,,,,
,5-Jun-24,41,42,38.7,,,0.146677545,,5.09,,,,0.24,,,,,,
,5-Jun-24,41,63,39.6,,,0.146677545,,6.09,,,,0.24,,,,,,
