GC_Run ,Date,Plot,Treatment,Time_mins ,Chamber_Temp_C,Surface_Area_m2,Height_m,Volume_m3,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
Batch12_2024,27-Jun-24,S-M-W-1,SMW,0,32.3,0.068349275,0.32475,,59701,,,,40962,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-1,SMW,21,31.7,0.068349275,0.32475,,144169,,,,40955,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-1,SMW,42,33,0.068349275,0.32475,,227122,,,,40341,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-1,SMW,63,32.5,0.068349275,0.32475,,310759,,,,41718,,,,,,,
Batch12_2024,27-Jun-24,C-S-1,CS,0,33.7,0.068349275,0.322,,45013,,,,40518,,,,,,,
Batch12_2024,27-Jun-24,C-S-1,CS,21,34.7,0.068349275,0.322,,82035,,,,39510,,,,,,,
Batch12_2024,27-Jun-24,C-S-1,CS,42,34.8,0.068349275,0.322,,114774,,,,40220,,,,,,,
Batch12_2024,27-Jun-24,C-S-1,CS,63,34.5,0.068349275,0.322,,144773,,,,40269,,,,,,,
Batch12_2024,27-Jun-24,S-M-1,SM,0,33.7,0.068349275,0.306,,51940,,,,41504,,,,,,,
Batch12_2024,27-Jun-24,S-M-1,SM,21,33.4,0.068349275,0.306,,84241,,,,40712,,,,,,,
Batch12_2024,27-Jun-24,S-M-1,SM,42,33.2,0.068349275,0.306,,112839,,,,42109,,,,,,,
Batch12_2024,27-Jun-24,S-M-1,SM,63,33,0.068349275,0.306,,137742,,,,40429,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,CSMD,0,31.6,0.068349275,0.311,,70226,,,,41026,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,CSMD,21,32.1,0.068349275,0.311,,118334,,,,40463,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,CSMD,42,31.8,0.068349275,0.311,,159713,,,,40304,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-1,CSMD,63,31.6,0.068349275,0.311,,207247,,,,41072,,,,,,,
Batch12_2024,27-Jun-24,C-1,C,0,33,0.068349275,0.296,,259633,,,,40182,,,,,,,
Batch12_2024,27-Jun-24,C-1,C,21,33,0.068349275,0.296,,410334,,,,41175,,,,,,,
Batch12_2024,27-Jun-24,C-1,C,42,33.3,0.068349275,0.296,,573167,,,,41496,,,,,,,
Batch12_2024,27-Jun-24,C-1,C,63,33,0.068349275,0.296,,746536,,,,41173,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,CSMD,0,30,0.068349275,0.31,,17655,,,,41527,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,CSMD,21,29.9,0.068349275,0.31,,50011,,,,41165,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,CSMD,42,29.7,0.068349275,0.31,,78440,,,,41749,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-2,CSMD,63,29.3,0.068349275,0.31,,106280,,,,41118,,,,,,,
Batch12_2024,27-Jun-24,C-2,C,0,32.1,0.068349275,0.298,,16449,,,,41487,,,,,,,
Batch12_2024,27-Jun-24,C-2,C,21,30.9,0.068349275,0.298,,163679,,,,41687,,,,,,,
Batch12_2024,27-Jun-24,C-2,C,42,31.8,0.068349275,0.298,,306079,,,,40372,,,,,,,
Batch12_2024,27-Jun-24,C-2,C,63,31.9,0.068349275,0.298,,442606,,,,41408,,,,,,,
Batch12_2024,27-Jun-24,C-S-2,CS,0,32.1,0.068349275,0.305,,14666,,,,39280,,,,,,,
Batch12_2024,27-Jun-24,C-S-2,CS,21,30.4,0.068349275,0.305,,37138,,,,42572,,,,,,,
Batch12_2024,27-Jun-24,C-S-2,CS,42,32.5,0.068349275,0.305,,53796,,,,41743,,,,,,,
Batch12_2024,27-Jun-24,C-S-2,CS,63,32.7,0.068349275,0.305,,75401,,,,41325,,,,,,,
Batch12_2024,27-Jun-24,S-M-2,SM,0,31.2,0.068349275,0.3065,,13250,,,,42515,,,,,,,
Batch12_2024,27-Jun-24,S-M-2,SM,21,29.2,0.068349275,0.3065,,64316,,,,41613,,,,,,,
Batch12_2024,27-Jun-24,S-M-2,SM,42,31,0.068349275,0.3065,,112706,,,,41854,,,,,,,
Batch12_2024,27-Jun-24,S-M-2,SM,63,29.8,0.068349275,0.3065,,159532,,,,41756,,,,,,,
